path	size_bytes	sha256
FINAL_RELEASE_NOTES.md	1270	39493c0709574309963983680039905b939a522dae50cb22c510537c349faa5b
README.md	4464	ea78e6a86379590c77862e935e49c8cb227abf8501e9f2d42da359f3c5667bf4
SOURCE_PROVENANCE.md	559	f57541c6a3fe4591169ca9b1262b8c013289df10cb0e51ec9a23d8cb79909bf6
audit_outputs/GSE89749_OXPHOS_fluke_sensitivity.csv	332	ff1eafef9de6a3c9da104042d17e6c5068f3b4acfbc850bc5891727639842abe
audit_outputs/GSE89749_OXPHOS_mapping_audit.csv	4204	6fff7c05119429a5a12c603db832086549787ebc9a6ed955f1ca692a302f748d
audit_outputs/GSE89749_recalculated_scores.csv	35422	6578604e6890dcc84c9439d70bc04b42428507d9dbb5a41e0fa07b72aa3b19c0
audit_outputs/GSE89749_recalculation_sensitivity.csv	1913	888275165707a05774ca9d02a0a662a849d00d3b05350faa5b987e3ba1acc1f3
audit_outputs/OXPHOS_final_statistical_results.csv	413	c301aa19ec66c029b19f6f91e057acda01c6a3f310bbdf464af9ee730958568c
code/00_run_all_reproducible.R	280	4aa9b17afd34b7c813e285d9396df8cf8d986091b490b3d55c53a21803692bc2
code/01_TCGA_CHOL_final33_survival.R	2402	4ff0b508c14c647e1ed82f937234e5934f7fffd7dda0df8a70405c987d956ca4
code/02_GSE89749_final115_survival.R	1597	8c5b9ac9a913905ccb2a3c8e67a37d7a0c43142fd9f7bae6bcfda2b39bb521f4
code/03_Figure2_KM_FINAL.R	4960	27e90191cee5f267734d72cc2c0430eb354439a8a5c5fa4ded4e620cf4caa7ef
code/04_Figure3_cross_cohort_forest.R	889	3561fbbb0f6f6630f8165356a863468b73489df71127d08f90504d14c67aefdf
code/05_Figure4_preprocessing_sensitivity.R	839	e2a9a6749d5b3374083a973fa9781d2290167535a75bc5bf0e9936e070d0881f
code/06_fluke_sensitivity_FROZEN.R	774	c20e64322763db97a3e4b1a142952d16916d434f5c2ec4ca161fa14a6fa1edf0
code/07_GSE89749_preprocessing_audit_README.R	1306	d84fe05a8f85733388934786fcc0e34d31303e1bc5c545830cd677dddb15644a
code/08_TCGA_score_construction_audit_README.R	1170	2fd20299c849197b47bb23e592e537ee94f0c9813fc40a96e7243419693e57b8
data_derived/GSE89749_OXPHOS_validation.csv	11881	b86ef58df1f612d154e0b73dd311dc1881c9fd822dab94292df08055c5e15c69
data_derived/TCGA_tumor_only_final_survival.csv	11047	45dc2281d7c80ec0aacc2fb00951de3f60410a8b0488a5b760585760f35e0577
data_derived/TCGA_tumor_only_survival_recalc_33.csv	2618	e6aea294a8c7d12e6ec0fccfc45dbc29fea355ea9396482b95f82a04b6d86f58
figures/Figure1_FINAL_workflow.png	911742	69ba9ccf33986ee023927871361f457cb5eb758b6f982e63c9141a034623bd8c
figures/Figure2_FINAL_KM_panels_A_B.png	27532	3c23b0c2413cc25ab19f4014be1fd9aa3a7764172ffda2f856faa9bf4eb8e19a
figures/Figure3_FINAL_cross_cohort_forest.png	83401	a41d21ebf2be32cd478084446751d4ca5df44a3e4ac0e341f3f0d7a1100858d2
figures/Figure4_FINAL_preprocessing_sensitivity.png	73353	761dd39aa5700a1bc0a09e597e9b48a953f8baddc676c9d3ae029c8d54956dfb
