hallmark_symbol,platform_symbol,mapping_type
NDUFS3,NDUFS3,direct
UQCRB,UQCRB,direct
NDUFS2,NDUFS2,direct
SDHA,SDHA,direct
UQCRC1,UQCRC1,direct
NDUFA9,NDUFA9,direct
NDUFS4,NDUFS4,direct
NDUFS1,NDUFS1,direct
NDUFA2,NDUFA2,direct
NDUFS8,NDUFS8,direct
SDHB,SDHB,direct
NNT,NNT,direct
ATP5PO,ATP5O,historical_alias
ATP5MC3,ATP5G3,historical_alias
NDUFS7,NDUFS7,direct
ATP5F1A,ATP5A1,historical_alias
NDUFV1,NDUFV1,direct
COX5B,COX5B,direct
UQCRH,UQCRH,direct
NDUFA1,NDUFA1,direct
ATP5F1C,ATP5C1,historical_alias
ATP5F1B,ATP5B,historical_alias
COX7B,COX7B,direct
SDHD,SDHD,direct
CYCS,CYCS,direct
NDUFA6,NDUFA6,direct
NDUFAB1,NDUFAB1,direct
COX8A,COX8A,direct
ACO2,ACO2,direct
ATP5MC1,ATP5G1,historical_alias
CYC1,CYC1,direct
NDUFB6,NDUFB6,direct
ATP5F1E,ATP5E,historical_alias
COX5A,COX5A,direct
UQCRC2,UQCRC2,direct
COX6A1,COX6A1,direct
ATP5F1D,ATP5D,historical_alias
COX6C,COX6C,direct
ATP5PF,ATP5J,historical_alias
NDUFB3,NDUFB3,direct
IDH3B,IDH3B,direct
OGDH,OGDH,direct
NDUFB8,NDUFB8,direct
SURF1,SURF1,direct
COX6B1,COX6B1,direct
NDUFB5,NDUFB5,direct
NDUFA4,NDUFA4,direct
NDUFB1,NDUFB1,direct
COX4I1,COX4I1,direct
COX7C,COX7C,direct
UQCRFS1,UQCRFS1,direct
SDHC,SDHC,direct
ATP6V1F,ATP6V1F,direct
COX7A2,COX7A2,direct
SUCLG1,SUCLG1,direct
NDUFS6,NDUFS6,direct
NDUFA7,NDUFA7,direct
FH,FH,direct
NDUFV2,NDUFV2,direct
OXA1L,OXA1L,direct
NDUFC1,NDUFC1,direct
UQCR11,UQCR,historical_alias
NDUFA5,NDUFA5,direct
CS,CS,direct
ATP6V1G1,ATP6V1G1,direct
ATP5PB,ATP5F1,historical_alias
HCCS,HCCS,direct
HADHB,HADHB,direct
ATP5PD,ATP5H,historical_alias
PDHA1,PDHA1,direct
NDUFA8,NDUFA8,direct
DLD,DLD,direct
OPA1,OPA1,direct
SLC25A11,SLC25A11,direct
ATP5ME,ATP5I,historical_alias
PDHB,PDHB,direct
ATP5MF,ATP5J2,historical_alias
NDUFB7,NDUFB7,direct
IDH2,IDH2,direct
MTX2,MTX2,direct
VDAC3,VDAC3,direct
MDH1,MDH1,direct
ATP5MC2,ATP5G2,historical_alias
IMMT,IMMT,direct
MDH2,MDH2,direct
SLC25A3,SLC25A3,direct
ATP6V1D,ATP6V1D,direct
VDAC2,VDAC2,direct
ACADM,ACADM,direct
COX7A2L,COX7A2L,direct
TIMM17A,TIMM17A,direct
ATP6V1E1,ATP6V1E1,direct
NDUFA3,NDUFA3,direct
SLC25A6,SLC25A6,direct
IDH3G,IDH3G,direct
ACADVL,ACADVL,direct
ETFA,ETFA,direct
TIMM9,TIMM9,direct
IDH3A,IDH3A,direct
TIMM8B,TIMM8B,direct
ATP6AP1,ATP6AP1,direct
TIMM13,TIMM13,direct
UQCRQ,UQCRQ,direct
ABCB7,ABCB7,direct
VDAC1,VDAC1,direct
ATP5MG,ATP5L,historical_alias
PHB2,PHB2,direct
DECR1,DECR1,direct
SUCLA2,SUCLA2,direct
GOT2,GOT2,direct
DLAT,DLAT,direct
ATP6V1H,ATP6V1H,direct
NDUFB2,NDUFB2,direct
FDX1,FDX1,direct
HADHA,HADHA,direct
ATP6V1C1,ATP6V1C1,direct
MAOB,MAOB,direct
NDUFB4,NDUFB4,direct
UQCR10,UCRC,historical_alias
ETFDH,ETFDH,direct
GPX4,GPX4,direct
PDHX,PDHX,direct
MFN2,MFN2,direct
AIFM1,AIFM1,direct
ACAA2,ACAA2,direct
ETFB,ETFB,direct
COX11,COX11,direct
ECHS1,ECHS1,direct
PMPCA,PMPCA,direct
ATP6V0B,ATP6V0B,direct
SLC25A5,SLC25A5,direct
DLST,DLST,direct
COX15,COX15,direct
CYB5A,CYB5A,direct
ALAS1,ALAS1,direct
SLC25A4,SLC25A4,direct
CPT1A,CPT1A,direct
SLC25A20,SLC25A20,direct
MTRR,MTRR,direct
COX17,COX17,direct
CYB5R3,CYB5R3,direct
TOMM22,TOMM22,direct
ACAT1,ACAT1,direct
MRPS11,MRPS11,direct
ATP6V0C,ATP6V0C,direct
PDK4,PDK4,direct
TIMM10,TIMM10,direct
LDHA,LDHA,direct
ECI1,DCI,historical_alias
MRPL11,MRPL11,direct
FXN,FXN,direct
MRPS12,MRPS12,direct
COX10,COX10,direct
RHOT1,RHOT1,direct
ACAA1,ACAA1,direct
ACADSB,ACADSB,direct
LDHB,LDHB,direct
MRPS30,MRPS30,direct
ATP1B1,ATP1B1,direct
BDH2,BDH2,direct
SLC25A12,SLC25A12,direct
TIMM50,TIMM50,direct
MRPL34,MRPL34,direct
ISCA1,ISCA1,direct
MRPL35,MRPL35,direct
IDH1,IDH1,direct
HSPA9,HSPA9,direct
MRPL15,MRPL15,direct
MRPS15,MRPS15,direct
TOMM70,TOMM70A,historical_alias
TCIRG1,TCIRG1,direct
ISCU,ISCU,direct
POLR2F,POLR2F,direct
NQO2,NQO2,direct
NDUFC2,NDUFC2,direct
MRPS22,MRPS22,direct
POR,POR,direct
ATP6V0E1,ATP6V0E1,direct
PHYH,PHYH,direct
MPC1,BRP44L,historical_alias
GPI,GPI,direct
AFG3L2,AFG3L2,direct
HSD17B10,HSD17B10,direct
CASP7,CASP7,direct
PRDX3,PRDX3,direct
MGST3,MGST3,direct
HTRA2,HTRA2,direct
BCKDHA,BCKDHA,direct
LRPPRC,LRPPRC,direct
RETSAT,RETSAT,direct
ECH1,ECH1,direct
RHOT2,RHOT2,direct
BAX,BAX,direct
MTRF1,MTRF1,direct
GLUD1,GLUD1,direct
SUPV3L1,SUPV3L1,direct
GRPEL1,GRPEL1,direct
PDP1,PPM2C,historical_alias
ALDH6A1,ALDH6A1,direct
OAT,OAT,direct
